id,variable,Ta,beta,delta,j,p_threshold,p_s
1,Ta,1,0.12,12,0,17.1,1
2,Ta,1,0.12,12,1,21.26666667,1
3,Ta,1,0.12,12,2,24.8,1
4,Ta,1,0.12,12,3,27.76666667,1
5,Ta,1,0.12,12,4,30.46666667,1
6,Ta,1,0.12,12,5,32.73333333,1
7,Ta,1,0.12,12,6,34.7,1
8,Ta,1,0.12,12,7,36.23333333,1
9,Ta,1,0.12,12,8,37.7,1
10,Ta,1,0.12,12,9,39.83333333,1
11,Ta,1,0.12,12,10,40.93333333,1
12,Ta,1,0.12,12,11,42,1
13,Ta,1,0.12,12,12,42.96666667,1
14,Ta,1,0.12,12,13,43.6,1
15,Ta,1,0.12,12,14,44.5,0
16,Ta,1,0.12,12,15,45.66666667,0
17,Ta,2,0.12,12,0,17.86666667,1
18,Ta,2,0.12,12,1,21.53333333,1
19,Ta,2,0.12,12,2,21.5,1
20,Ta,2,0.12,12,3,24.7,1
21,Ta,2,0.12,12,4,23.93333333,1
22,Ta,2,0.12,12,5,27.23333333,1
23,Ta,2,0.12,12,6,26.2,1
24,Ta,2,0.12,12,7,29.36666667,1
25,Ta,2,0.12,12,8,27.36666667,1
26,Ta,2,0.12,12,9,30.3,1
27,Ta,2,0.12,12,10,28.53333333,1
28,Ta,2,0.12,12,11,31.23333333,1
29,Ta,2,0.12,12,12,29.36666667,1
30,Ta,2,0.12,12,13,31.63333333,1
31,Ta,2,0.12,12,14,30.2,1
32,Ta,2,0.12,12,15,32.26666667,1
33,Ta,16,0.12,12,0,17.1,1
34,Ta,16,0.12,12,1,,
35,Ta,16,0.12,12,2,,
36,Ta,16,0.12,12,3,20.4,1
37,Ta,16,0.12,12,4,,
38,Ta,16,0.12,12,5,,
39,Ta,16,0.12,12,6,19.4,1
40,Ta,16,0.12,12,7,,
41,Ta,16,0.12,12,8,,
42,Ta,16,0.12,12,9,18.7,1
43,Ta,16,0.12,12,10,,
44,Ta,16,0.12,12,11,,
45,Ta,16,0.12,12,12,17.8,1
46,Ta,16,0.12,12,13,,
47,Ta,16,0.12,12,14,,
48,Ta,16,0.12,12,15,17.9,1
49,beta,1,0.24,12,0,16.7,1
50,beta,1,0.24,12,1,25.4,1
51,beta,1,0.24,12,2,31.2,1
52,beta,1,0.24,12,3,36.1,1
53,beta,1,0.24,12,4,39.9,1
54,beta,1,0.24,12,5,42.2,1
55,beta,1,0.24,12,6,44.4,0
56,beta,1,0.24,12,7,45.8,0
57,beta,1,0.24,12,8,48,0
58,beta,1,0.24,12,9,48.8,0
59,beta,1,0.24,12,10,49.7,0
60,beta,1,0.24,12,11,49.9,0
61,beta,1,0.24,12,12,50.2,0
62,beta,1,0.24,12,13,50.5,0
63,beta,1,0.24,12,14,51.4,0
64,beta,1,0.24,12,15,51.7,0
65,beta,1,0.12,12,0,17.1,1
66,beta,1,0.12,12,1,21.26666667,1
67,beta,1,0.12,12,2,24.8,1
68,beta,1,0.12,12,3,27.76666667,1
69,beta,1,0.12,12,4,30.46666667,1
70,beta,1,0.12,12,5,32.73333333,1
71,beta,1,0.12,12,6,34.7,1
72,beta,1,0.12,12,7,36.23333333,1
73,beta,1,0.12,12,8,37.7,1
74,beta,1,0.12,12,9,39.83333333,1
75,beta,1,0.12,12,10,40.93333333,1
76,beta,1,0.12,12,11,42,1
77,beta,1,0.12,12,12,42.96666667,1
78,beta,1,0.12,12,13,43.6,1
79,beta,1,0.12,12,14,44.5,0
80,beta,1,0.12,12,15,45.66666667,0
81,beta,1,0.06,12,0,16.5,1
82,beta,1,0.06,12,1,18.5,1
83,beta,1,0.06,12,2,20.2,1
84,beta,1,0.06,12,3,21.9,1
85,beta,1,0.06,12,4,23.6,1
86,beta,1,0.06,12,5,25.1,1
87,beta,1,0.06,12,6,26.5,1
88,beta,1,0.06,12,7,27.6,1
89,beta,1,0.06,12,8,29.1,1
90,beta,1,0.06,12,9,30.3,1
91,beta,1,0.06,12,10,31.4,1
92,beta,1,0.06,12,11,32.4,1
93,beta,1,0.06,12,12,33.4,1
94,beta,1,0.06,12,13,34.3,1
95,beta,1,0.06,12,14,35.2,1
96,beta,1,0.06,12,15,36,1
97,beta,1,0,12,0,16.8,1
98,beta,1,0,12,1,16.8,1
99,beta,1,0,12,2,16.8,1
100,beta,1,0,12,3,16.8,1
101,beta,1,0,12,4,16.8,1
102,beta,1,0,12,5,16.8,1
103,beta,1,0,12,6,16.8,1
