id,variable,d_ue,p_rxue,d_attacker,p_rxattacker,p_s
1,d_ue,90.3,,40,69,0
2,d_ue,90.3,,56.5,63.34,0
3,d_ue,90.3,,89.4,58.98,0
4,d_ue,90.3,,126.4,59.22,0
5,d_ue,90.3,,164.9,53.74,0
6,d_ue,90.3,,203.9,54.7,0
7,d_ue,90.3,,243.3,52.13,0
8,d_ue,90.3,,282.8,49.95,0
9,d_ue,90.3,50.28,322.4,,1
10,d_ue,90.3,50.26,362.2,,1
11,d_ue,90.3,50.19,401.9,,1
12,d_ue,127.1,,40,69.23,0
13,d_ue,127.1,,56.5,62.25,0
14,d_ue,127.1,,89.4,58.23,0
15,d_ue,127.1,,126.4,58.37,0
16,d_ue,127.1,,164.9,54.85,0
17,d_ue,127.1,,203.9,55.11,0
18,d_ue,127.1,,243.3,55.24,0
19,d_ue,127.1,,282.8,49.11,0
20,d_ue,127.1,49.8,322.4,44.1,0.9
21,d_ue,127.1,50.12,362.2,,1
22,d_ue,127.1,48.12,401.9,,1
23,d_ue,165.4,,40,69,0
24,d_ue,165.4,,56.5,58.54,0
25,d_ue,165.4,,89.4,56.23,0
26,d_ue,165.4,,126.4,55.93,0
27,d_ue,165.4,,164.9,53.05,0
28,d_ue,165.4,,203.9,54.1,0
29,d_ue,165.4,,243.3,56.18,0
30,d_ue,165.4,,282.8,49.67,0
31,d_ue,165.4,49,322.4,48.75,0.6
32,d_ue,165.4,47.95,362.2,,1
33,d_ue,165.4,49.5,401.9,,1
34,p_rxue,127.1,49.3,40,69.2,0
35,p_rxue,127.1,49.3,56.5,62.2,0
36,p_rxue,127.1,49.3,89.4,58.2,0
37,p_rxue,127.1,49.3,126.4,58.3,0
38,p_rxue,127.1,49.3,164.9,54.8,0
39,p_rxue,127.1,49.3,203.9,55.1,0
40,p_rxue,127.1,49.3,243.3,55.2,0
41,p_rxue,127.1,49.3,282.8,49.1,0
42,p_rxue,127.1,49.3,322.4,44.1,0.9
43,p_rxue,127.1,49.3,362.2,,1
44,p_rxue,127.1,49.3,401.9,,1
45,p_rxue,127.1,51.4,40,69.5,0
46,p_rxue,127.1,51.4,56.5,61.4,0
47,p_rxue,127.1,51.4,89.4,59.3,0
48,p_rxue,127.1,51.4,126.4,58.4,0
49,p_rxue,127.1,51.4,164.9,57.6,0
50,p_rxue,127.1,51.4,203.9,50.3,0.8
51,p_rxue,127.1,51.4,243.3,,1
52,p_rxue,127.1,51.4,282.8,,1
53,p_rxue,127.1,51.4,322.4,,1
54,p_rxue,127.1,51.4,362.2,,1
55,p_rxue,127.1,51.4,401.9,,1
56,p_rxue,127.1,60,40,69.9,0
57,p_rxue,127.1,60,56.5,61.9,0
58,p_rxue,127.1,60,89.4,61.8,0
59,p_rxue,127.1,60,126.4,59.8,0.8
60,p_rxue,127.1,60,164.9,,1
61,p_rxue,127.1,60,203.9,,1
62,p_rxue,127.1,60,243.3,,1
63,p_rxue,127.1,60,282.8,,1
64,p_rxue,127.1,60,322.4,,1
65,p_rxue,127.1,60,362.2,,1
66,p_rxue,127.1,60,401.9,,1
