id,variable,time,power
1,normal,0,51
2,normal,1,48.1
3,normal,2,48.2
4,normal,3,48.2
5,normal,4,54.1
6,normal,5,48.2
7,normal,6,48.2
8,normal,7,54.2
9,normal,8,51
10,normal,9,53.5
11,normal,10,48.2
12,normal,11,48.2
13,normal,12,54.2
14,normal,13,48.1
15,normal,14,51.1
16,normal,15,48.2
17,normal,16,54.1
18,normal,17,48.2
19,normal,18,53.5
20,normal,19,51
21,normal,20,48.2
22,normal,21,48.1
23,normal,22,51
24,normal,23,48.2
25,normal,24,54.2
26,normal,25,54.2
27,normal,26,48.2
28,normal,27,48.2
29,normal,28,51.1
30,normal,29,53.5
31,normal,30,54.2
32,attack,0,57.6
33,attack,1,30.7
34,attack,2,31.5
35,attack,3,28.4
36,attack,4,39.5
37,attack,5,39.5
38,attack,6,48.3
39,attack,7,74.8
40,attack,8,71.8
41,attack,9,71.6
42,attack,10,71.6
43,attack,11,71.6
44,attack,12,72.6
45,attack,13,72.1
46,attack,14,72
47,attack,15,71.9
48,attack,16,71.8
49,attack,17,72.6
50,attack,18,71.9
51,attack,19,75
52,attack,20,72.7
53,attack,21,74.4
54,attack,22,72.3
55,attack,23,72.3
56,attack,24,71.3
57,attack,25,47.8
58,attack,26,30.7
59,attack,27,30.3
60,attack,28,33.7
61,attack,29,28.6
62,attack,30,39.5
